train,test
2.998400358975246E-4,2.9293499619364045E-4
2.9882232509930833E-4,2.912924418770632E-4
2.974564341016758E-4,2.9004640334182876E-4
2.9587875732507186E-4,2.888328909859175E-4
2.9444816768413334E-4,2.886759480003779E-4
2.934261263600038E-4,2.8851916027799324E-4
2.925553557405491E-4,2.8803438580849594E-4
2.9170581960667177E-4,2.8810905060001435E-4
2.9095729426082214E-4,2.8763114879189265E-4
2.902365403700533E-4,2.8733395081920703E-4
2.8943519099677693E-4,2.866490765079048E-4
2.8840657179539825E-4,2.8584698506109056E-4
2.8720604596988754E-4,2.8436580630401446E-4
2.856618127559001E-4,2.837095526842196E-4
2.844832560261206E-4,2.824757399065019E-4
2.8365644987607646E-4,2.8204893055701075E-4
2.8266705830790804E-4,2.8149430783120787E-4
2.819667425479513E-4,2.804014678853781E-4
2.811256747256948E-4,2.8027015934325983E-4
2.808665575764189E-4,2.7982072518013265E-4
2.804212729478795E-4,2.7873024301063753E-4
2.7909876602653753E-4,2.769042258290272E-4
2.776487704468215E-4,2.759169243291558E-4
2.766305604463219E-4,2.7513389622269696E-4
2.7583455329566783E-4,2.739578988628228E-4
2.7503631708268654E-4,2.7297205879559395E-4
2.7414984163065596E-4,2.720284190670669E-4
2.732864312851679E-4,2.7076482858424657E-4
2.7252186547197936E-4,2.703352765549812E-4
2.716042517597986E-4,2.690238624906039E-4
2.7112101229419624E-4,2.6870923907213373E-4
2.7068516520990386E-4,2.678575623573988E-4
2.699078110422717E-4,2.667870212383897E-4
2.6871993180588516E-4,2.652836298233627E-4
2.6769499375284175E-4,2.6531653367615007E-4
2.668389670339095E-4,2.652594353981368E-4
2.6629449027292445E-4,2.649889974193522E-4
2.6590125509655665E-4,2.6475497817547646E-4
2.65684780610587E-4,2.645881971332091E-4
2.652386318045711E-4,2.6455955033879443E-4
2.646498737870497E-4,2.6447717081212285E-4
2.64105143981931E-4,2.6435644000160654E-4
2.6352503045912873E-4,2.6362767375401113E-4
2.6288937424599247E-4,2.627804848473082E-4
2.622470882950625E-4,2.618138658897629E-4
2.6176410990590154E-4,2.6098099320445207E-4
2.614323981906107E-4,2.604654669200772E-4
2.6097450580113337E-4,2.5961390789878394E-4
2.6038859868283374E-4,2.59046549565745E-4
2.596001580101603E-4,2.5803634923187926E-4
2.5893570416013207E-4,2.578095321955841E-4
